attendee_id,first_name,last_name,email,age,project_id,checked_in?,school,level_of_study,major,shirt_size
237,Effertz,Madyson,33264@college.edu,22,25,1,Case Western Reserve University,University (Master's / Doctoral),Biomedical Engineering,Unisex - L
238,Abernathy,Carter,93811@whatever.edu,18,,0,University of toledo,University (Undergraduate),Computer Science and Engineering,Unisex - L
239,Schumm,Liliana,99384@whatever.edu,21,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
240,Beer,Treva,15627@college.edu,23,9,0,Case Western Reserve University,University (Master's / Doctoral),Finance,Unisex - M
241,Morissette,Demond,17634@college.edu,21,28,0,Case Western Reserve University,University (Undergraduate),Finance,Unisex - M
242,Roob,Hazle,66258@whatever.edu,29,27,1,Case Western Reserve University,University (Master's / Doctoral),Physics,Unisex - M
243,Paucek,Julian,68850@whatever.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Engineering,Unisex - M
244,Zieme,Okey,69647@university.edu,23,,0,Case Western Reserve University,Not Currently a Student,Full Stack Web Development,Women's - S
245,Kassulke,Easter,87391@college.edu,37,,0,Michigan State University,University (Master's / Doctoral),Computer Science,Women's - L
246,Emard,Lilyan,15016@university.edu,22,,1,The Ohio State University,University (Undergraduate),Computer Engineering,Unisex - XL
247,Schimmel,Morgan,25201@university.edu,24,26,1,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Unisex - L
248,Moen,Isabella,64569@university.edu,20,,0,Ohio State University,University (Undergraduate),Computer Science and Computer Engineering,Unisex - L
249,Zieme,Zachariah,70007@university.edu,21,,0,University of toledo,University (Undergraduate),CSE,Unisex - XL
250,Heidenreich,Myra,32431@college.edu,16,,1,Parma High School,High School / Secondary School,None,Unisex - S
251,Bernier,Casey,95895@university.edu,19,,1,The University of Akron,University (Undergraduate),Computer Engineering,Unisex - S
252,Cassin,Eric,39435@college.edu,28,28,1,Case Western Reserve University,University (Master's / Doctoral),Master of Public Health,Unisex - L
253,Herzog,Carmen,81796@university.edu,21,,1,Case Western Reserve University,University (Undergraduate),Communication Sciences,Women's - S
254,Bins,Isabell,57675@university.edu,19,6,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
255,Botsford,Jan,90485@whatever.edu,21,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
256,Cartwright,Christa,92653@whatever.edu,18,31,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
257,Lakin,Tamia,54722@university.edu,26,,1,Indiana State University,University (Undergraduate),Computer Science,Unisex - M
258,Shields,Wyman,64455@university.edu,21,,1,The University of Pittsburgh,University (Undergraduate),Computer Science,Unisex - S
259,Feil,Laurine,15641@university.edu,17,15,1,The Ohio State University,University (Undergraduate),Computer Science,Women's - S
260,Treutel,Nils,89736@university.edu,19,10,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
261,Becker,Kody,84652@university.edu,24,27,1,Case Western Reserve University,University (Master's / Doctoral),Master of Engineering,Unisex - L
262,Gislason,Nathan,32751@whatever.edu,20,3,1,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - L
263,Armstrong,Carmine,10187@university.edu,19,6,0,Case Western Reserve University,University (Undergraduate),Computer Science and Electrical Engineering,Unisex - L
264,Witting,Autumn,90522@university.edu,18,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
265,O'Connell,Dedric,14658@university.edu,31,,0,Purdue University,University (Master's / Doctoral),MBA,Unisex - L
266,Mosciski,Dewayne,69901@university.edu,25,16,1,Case Western Reserve University,University (Master's / Doctoral),Periodontics,Unisex - XL
267,Bernhard,Karina,96334@college.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
268,Prosacco,Kaleigh,69121@college.edu,27,,1,Case Western Reserve University,University (Master's / Doctoral),Physics,Women's - XS
269,Kuphal,Ricardo,36673@college.edu,28,,0,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Women's - S
270,Berge,Marlene,55463@college.edu,24,,0,Case Western Reserve University,University (Master's / Doctoral),Computer Science,Unisex - XL
271,Johns,Glennie,44518@university.edu,18,5,1,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - M
272,Berge,Amos,35081@university.edu,21,8,0,Case Western Reserve University,University (Undergraduate),Math + Physics and Computer Science,Women's - S
273,Johns,Rogelio,24171@whatever.edu,21,,1,The University of Akron,University (Undergraduate),Computer Science,Unisex - L
274,Sanford,Carlotta,35772@whatever.edu,28,,0,University of Toledo,University (Master's / Doctoral),Computer Engineering,Unisex - XXL
275,Simonis,Noah,39652@university.edu,21,,1,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - M
276,Olson,Joyce,18828@college.edu,21,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - XL
277,O'Conner,Fritz,57892@university.edu,19,,1,Purdue University,University (Undergraduate),Computer Engineering,Women's - M
278,Block,Kristy,30251@college.edu,21,,0,Case Western Reserve University,University (Undergraduate),Data Science,Unisex - S
279,Grady,Alena,73607@whatever.edu,21,14,0,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - M
280,Cremin,Daija,16823@whatever.edu,19,6,1,Case Western Reserve University,University (Undergraduate),Biology,Women's - M
281,Kreiger,Deonte,99751@university.edu,19,,1,The University of Pittsburgh,University (Undergraduate),Electrical & Computer Engineering,Unisex - M
282,Oberbrunner,Colten,34216@college.edu,18,,0,The University of Toledo,University (Undergraduate),Computer Science,Unisex - XL
283,Kautzer,Araceli,40585@whatever.edu,22,,0,Case Western Reserve University,University (Undergraduate),Engineering Physics,Unisex - S
284,Bechtelar,Rudy,84784@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - M
285,Lemke,Shirley,31777@university.edu,18,,1,The University of Toledo,University (Undergraduate),Computer Science,Women's - M
286,Dibbert,Aidan,30344@university.edu,20,,0,The University of Akron,University (Undergraduate),Computer Science,Unisex - L
287,McLaughlin,Berenice,70594@university.edu,20,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - S
288,Beatty,Alexandrine,71807@whatever.edu,18,,1,Shaker Heights High School,High School / Secondary School,Computer Science,Unisex - L
289,Raynor,Toby,86777@university.edu,18,9,1,The University of Pittsburgh,University (Undergraduate),Computer Engineering,Women's - XS
290,Toy,Rico,45528@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Aerospace Engineering,Unisex - M
291,Schneider,Duane,17139@whatever.edu,21,20,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Women's - S
292,Murazik,Flavio,33801@whatever.edu,18,14,0,The University of Toledo,University (Undergraduate),Computer Science and Engineering,Unisex - L
293,Glover,Rhea,55691@university.edu,19,9,0,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - S
294,Jacobs,Emmett,76369@university.edu,20,,0,Case Western Reserve University,University (Undergraduate),Computer Engineering,Unisex - M
295,Ebert,Lue,67575@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - S
296,Runte,Elian,45236@whatever.edu,29,,1,Michigan State University,University (Undergraduate),Computer Science,Unisex - L
297,Windler,Howell,89816@whatever.edu,19,,1,Michigan State University,University (Undergraduate),Computer Science,Unisex - M
298,Barrows,Nathaniel,64766@university.edu,21,,1,Case Western Reserve University,University (Undergraduate),Evolutionary Biology,Unisex - XL
299,West,Delilah,82939@whatever.edu,21,9,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - M
300,Hermann,Ophelia,65565@whatever.edu,19,,1,Case Western Reserve University,University (Undergraduate),Engineering,Unisex - M
301,Balistreri,Katharina,38103@college.edu,21,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
302,Walker,Janie,28945@whatever.edu,18,4,0,The University of Pittsburgh,University (Undergraduate),Computer Engineering,Women's - XL
303,Leannon,Mario,24432@college.edu,21,,0,The University of Pittsburgh,University (Undergraduate),Computer Science and Engineering,Unisex - L
304,McDermott,Isabella,22484@college.edu,20,,1,The University of Pittsburgh,University (Undergraduate),Computer Science,Unisex - L
305,Roob,Clarissa,33455@college.edu,20,26,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
306,Gerlach,Ola,86146@whatever.edu,21,,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - L
307,Kuhic,Akeem,88589@college.edu,20,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - XL
308,Ebert,Ewald,18425@whatever.edu,15,,0,Central Highschool,High School / Secondary School,None,Unisex - XL
309,Weissnat,Gerard,23233@college.edu,15,9,1,Central High School,High School / Secondary School,N/a,Unisex - M
310,Lind,Brannon,56240@whatever.edu,19,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
311,Maggio,Taurean,63009@whatever.edu,19,,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - M
312,Metz,Delbert,23632@college.edu,20,1,0,Case Western Reserve University,University (Undergraduate),Biochemistry,Unisex - M
313,West,Dejon,93905@college.edu,17,,1,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Unisex - M
314,Eichmann,Alia,60924@college.edu,21,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
315,Denesik,Marlen,48961@university.edu,18,,1,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Women's - M
316,Kuphal,Xander,38177@college.edu,18,,0,Case Western Reserve University,University (Undergraduate),Astronomy & Theater ,Unisex - M
317,Heathcote,Easton,97123@college.edu,21,,0,The University of Toledo,University (Undergraduate),Business Administration,Unisex - XL
318,Grant,Clementine,53758@college.edu,18,16,1,Case Western Reserve University,University (Undergraduate),Biomedical Engineering,Unisex - L
319,Osinski,Rachael,61572@university.edu,18,,1,Case Western Reserve University,University (Undergraduate),Biology,Unisex - M
320,Abshire,Deron,66466@whatever.edu,19,26,0,Case Western Reserve University,University (Undergraduate),Biology,Unisex - XL
321,Jacobson,Isaac,41773@whatever.edu,18,,0,Case Western Reserve University,University (Undergraduate),Undeclared,Women's - M
322,Stamm,Aiyana,52108@whatever.edu,23,25,1,Case Western Reserve University,Not Currently a Student,Computer Science,Unisex - M
323,Watsica,Alana,19416@university.edu,19,11,1,Case Western Reserve University,University (Undergraduate),Computer Science,Women's - M
324,Wiza,Kathryn,52899@college.edu,19,20,0,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - M
325,VonRueden,Tierra,27950@college.edu,20,,0,Case Western Reserve University,University (Undergraduate),"Business Management, Environmental Studies",Unisex - XL
326,Breitenberg,Mattie,21051@university.edu,20,21,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
327,Johnston,Jazmyne,80383@college.edu,18,,1,The University of Michigan,University (Undergraduate),Computer Engineering ,Unisex - M
328,Bernier,Bethany,80976@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
329,Turner,Neha,51970@university.edu,18,2,1,Case Western Reserve University,University (Undergraduate),Biomedical Engineering & Computer Science,Unisex - L
330,Von,Kaela,82182@college.edu,18,,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
331,Toy,Lucinda,21321@university.edu,21,,0,Case Western Reserve University,University (Undergraduate),Nursing ,Women's - M
332,Abbott,Dayne,57861@whatever.edu,21,,0,Case Western Reserve University,University (Undergraduate),International Relations,Women's - L
333,Kunze,Blair,65418@college.edu,26,,1,Case Western Reserve University,Not Currently a Student,Biology,Women's - M
334,Durgan,Ozella,15079@college.edu,19,,1,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Unisex - M
335,Goldner,Ricky,37347@whatever.edu,22,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
336,Price,Lenora,58495@university.edu,18,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
337,Nikolaus,Annamae,51645@whatever.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
338,Fahey,Anderson,18282@university.edu,19,,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - L
339,O'Hara,Eriberto,21837@university.edu,28,9,0,Case Western Reserve University,Not Currently a Student,Chemical Engineering,Women's - M
340,Kuhic,Ewell,60980@university.edu,17,32,0,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - M
341,Rempel,Clemens,25602@college.edu,18,,0,Case Western Reserve University,University (Undergraduate),Mechanical Engineering,Women's - XXS
342,Orn,Soledad,58905@college.edu,22,,1,Case Western Reserve University,University (Undergraduate),Electrical Engineering,Unisex - L
343,Lehner,Brendan,75430@whatever.edu,16,16,1,Highland High School,High School / Secondary School,CS,Unisex - M
344,Lueilwitz,Eloy,50284@whatever.edu,20,7,1,The Ohio State University,University (Undergraduate),Industrial Design,Women's - M
345,Kemmer,Eleazar,33558@whatever.edu,19,2,1,Case Western Reserve University,University (Undergraduate),Computer Science,Unisex - S
